YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1881,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,4.60,2.39,999.90,999.90,999.90,999.90,999.90
1882,-3.90,-0.03,0.78,4.30,9.31,16.73,19.59,20.02,16.57,12.64,2.96,-2.66,-0.51,4.80,18.78,10.72,8.45
1883,-6.60,-5.07,-4.51,4.55,10.06,18.13,19.34,18.71,14.17,8.78,5.91,0.44,-4.78,3.37,18.73,9.62,6.73
1884,-8.40,-2.98,-1.52,4.30,11.47,19.23,18.50,19.92,18.47,10.89,3.01,-1.46,-3.65,4.75,19.22,10.79,7.78
1885,-6.70,-10.08,-6.67,4.55,12.07,16.02,21.14,18.27,15.47,9.79,4.61,-0.80,-6.08,3.32,18.48,9.96,6.42
1886,-5.65,-4.67,-0.18,8.20,11.92,17.38,20.00,19.46,17.17,11.04,3.06,-4.46,-3.71,6.65,18.95,10.42,8.08
1887,-5.70,-3.43,-2.22,4.59,17.17,19.48,24.39,20.42,15.32,8.99,3.66,-0.40,-4.53,6.51,21.43,9.32,8.18
1888,-7.69,-4.37,-3.16,4.11,12.53,18.64,20.46,20.33,15.33,7.55,4.87,-0.45,-4.15,4.49,19.81,9.25,7.35
1889,-1.23,-7.37,1.09,6.51,12.97,17.14,21.61,20.08,17.33,7.55,4.87,3.25,-3.02,6.86,19.61,9.92,8.34
1890,0.41,-0.16,-1.31,6.71,11.48,19.69,21.41,19.22,15.83,10.25,4.22,-3.40,1.17,5.63,20.11,10.10,9.25
1891,-2.38,-0.71,-0.30,6.66,11.18,19.14,19.06,20.33,18.78,10.29,4.17,2.75,-2.16,5.85,19.51,11.08,8.57
1892,-5.09,-1.96,-1.76,5.36,11.78,19.64,21.61,21.43,17.08,10.39,2.62,-2.55,-1.43,5.13,20.89,10.03,8.65
1893,-8.49,-5.87,-0.55,5.15,11.93,20.14,21.65,20.83,15.98,12.20,4.61,-2.25,-5.64,5.51,20.87,10.93,7.92
1894,-0.79,-4.97,4.09,7.51,12.98,19.14,22.06,19.93,18.87,12.40,2.37,0.79,-2.67,8.19,20.38,11.21,9.28
1895,-5.09,-8.47,-2.51,7.35,13.93,20.94,20.56,20.93,18.53,999.90,999.90,999.90,-4.26,6.26,20.81,999.90,8.30
1896,999.90,999.90,-3.60,8.16,15.04,19.14,21.62,20.69,15.84,8.71,5.83,-0.98,999.90,6.53,20.48,10.13,8.44
1897,-4.13,-2.46,1.55,6.87,12.44,16.80,23.76,19.79,17.54,12.61,4.48,-0.88,-2.52,6.95,20.12,11.54,9.02
1898,-2.27,-2.66,5.20,6.37,13.99,19.89,23.17,21.99,19.39,12.36,4.08,-1.39,-1.94,8.52,21.68,11.94,10.05
1899,-3.88,-6.01,0.05,8.62,13.74,19.44,21.52,22.44,15.89,13.36,5.48,-0.44,-3.76,7.47,21.13,11.58,9.11
1900,-2.57,-4.76,-3.54,6.47,14.04,19.35,21.76,23.09,19.59,15.90,5.28,-0.29,-2.59,5.66,21.40,13.59,9.51
1901,-3.23,-7.86,0.50,7.71,12.64,19.25,23.67,22.24,18.04,11.65,2.28,-1.54,-3.79,6.95,21.72,10.66,8.88
1902,-4.18,-5.46,4.15,7.32,12.89,16.69,21.42,19.74,18.09,11.01,8.73,-2.43,-3.73,8.12,19.28,12.61,9.07
1903,-3.42,-2.80,5.41,6.93,16.09,17.21,20.93,19.25,17.95,11.91,3.04,-3.58,-2.88,9.48,19.13,10.97,9.17
1904,-7.27,-8.45,0.36,3.88,14.25,19.21,20.33,19.25,16.45,9.32,3.54,-4.23,-6.43,6.16,19.60,9.77,7.27
1905,-6.82,-8.00,0.55,5.08,12.55,18.15,21.93,20.40,17.90,11.57,2.94,0.46,-6.35,6.06,20.16,10.80,7.67
1906,0.57,-3.75,-2.59,6.33,12.20,18.61,21.93,22.70,19.05,10.77,4.04,-2.83,-0.91,5.31,21.08,11.29,9.19
1907,-3.82,-7.00,1.91,3.43,9.44,17.01,20.93,19.34,16.95,8.87,3.84,0.21,-4.55,4.93,19.09,9.89,7.34
1908,-3.22,-5.85,0.81,4.93,13.70,19.46,22.08,20.15,19.24,12.37,5.33,-1.28,-2.95,6.48,20.56,12.31,9.10
1909,-2.02,-1.30,-0.79,5.53,12.35,18.51,20.72,21.10,16.70,8.92,6.99,-2.88,-1.53,5.70,20.11,10.87,8.79
1910,-3.42,-5.60,4.41,8.38,11.65,17.45,21.58,21.15,16.85,11.97,2.24,-4.72,-3.97,8.15,20.06,10.35,8.65
1911,-2.30,-3.09,-0.37,6.09,16.10,19.41,22.44,21.31,16.96,10.78,2.90,2.13,-3.37,7.27,21.05,10.21,8.79
1912,-9.26,-6.88,-2.38,5.73,13.51,16.87,21.59,18.56,18.30,12.18,5.75,1.38,-4.67,5.62,19.01,12.08,8.01
1913,0.84,999.90,1.72,7.34,12.36,17.82,21.09,20.66,16.25,11.98,6.30,1.03,0.65,7.14,19.86,11.51,9.79
1914,-2.41,-8.38,-0.88,4.69,12.61,17.71,21.53,20.76,16.66,13.03,4.40,-3.22,-3.25,5.47,20.00,11.36,8.40
1915,-3.86,-1.33,-2.22,8.34,10.91,18.16,20.34,19.31,18.36,11.63,5.70,-2.26,-2.80,5.68,19.27,11.90,8.51
1916,-0.20,-7.29,-2.58,6.09,11.81,16.72,24.14,22.26,16.91,11.53,3.95,-1.92,-3.25,5.11,21.04,10.80,8.42
1917,-4.35,-7.74,0.81,4.79,8.91,16.07,21.29,20.40,15.46,7.63,1.59,-6.16,-4.67,4.84,19.25,8.23,6.91
1918,-10.10,-4.92,1.68,5.85,14.77,16.98,20.90,21.77,13.57,12.09,6.06,1.79,-7.06,7.43,19.88,10.57,7.71
1919,-0.74,-1.72,2.08,5.95,12.57,22.78,21.75,19.72,17.51,13.04,3.51,-4.76,-0.22,6.87,21.42,11.35,9.85
1920,-9.29,-6.73,2.43,4.45,12.11,18.13,19.40,21.52,18.17,14.14,3.51,0.48,-6.93,6.33,19.68,11.94,7.76
1921,-1.75,-1.47,5.48,10.80,14.07,19.58,25.04,20.52,19.97,11.34,3.11,-1.11,-0.91,10.12,21.71,11.47,10.60
1922,-5.05,-2.67,1.98,7.24,15.97,18.73,21.60,20.41,18.22,11.14,5.51,-1.61,-2.94,8.40,20.25,11.62,9.33
1923,-3.84,-6.28,-1.37,4.80,11.82,18.63,21.45,19.86,17.37,10.28,4.56,3.24,-3.91,5.08,19.98,10.74,7.97
1924,-4.34,-5.87,-0.27,5.14,9.37,17.22,20.20,20.22,14.82,11.64,4.31,-3.66,-2.32,4.75,19.21,10.26,7.97
1925,-5.85,-0.63,2.28,7.15,9.71,19.23,20.24,21.12,17.12,6.24,3.66,-2.55,-3.38,6.38,20.20,9.01,8.05
1926,-3.89,-5.57,-2.66,1.81,10.33,15.39,20.25,20.67,16.48,9.75,4.22,-3.71,-4.00,3.16,18.77,10.15,7.02
1927,-5.05,-1.43,2.52,6.15,11.97,15.73,20.54,18.32,18.26,12.84,6.01,-0.87,-3.40,6.88,18.20,12.37,8.51
1928,-3.31,-3.69,-0.77,4.28,11.41,16.77,21.09,22.01,15.16,11.88,5.15,0.87,-2.62,4.97,19.96,10.73,8.26
1929,-4.76,-5.29,3.57,6.64,11.85,17.87,999.90,18.94,17.48,9.89,3.79,-2.42,-3.06,7.35,19.04,10.39,8.43
1930,-3.92,-1.42,-0.92,5.43,12.53,18.88,20.68,20.58,18.47,10.93,6.13,-1.32,-2.59,5.68,20.05,11.84,8.75
1931,-3.42,-2.52,0.48,7.48,13.28,19.03,22.58,21.43,19.33,13.33,8.97,2.12,-2.42,7.08,21.01,13.88,9.89
1932,3.02,-0.23,-1.78,4.52,11.92,18.32,19.62,21.12,17.71,12.12,3.22,0.27,1.64,4.89,19.69,11.02,9.31
1933,1.62,-2.38,-0.43,7.32,13.46,19.67,22.22,20.62,18.21,10.42,1.41,-2.54,-0.16,6.78,20.84,10.01,9.37
1934,-2.34,-11.14,-1.74,6.11,13.91,20.01,22.26,19.56,18.91,10.36,6.51,-2.45,-5.34,6.09,20.61,11.93,8.32
1935,-4.39,-4.45,2.49,5.15,9.85,17.69,23.30,21.40,15.50,11.05,5.25,-4.10,-3.76,5.83,20.80,10.60,8.37
1936,-4.79,-7.35,1.85,4.15,12.05,18.69,21.95,21.10,17.60,11.05,1.85,1.13,-5.41,6.02,20.58,10.17,7.84
1937,0.34,-1.71,-2.16,6.29,12.99,18.59,21.79,23.09,16.43,9.03,4.24,-2.11,-0.08,5.71,21.16,9.90,9.17
1938,-4.05,-1.81,3.39,7.64,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-2.66,8.69,999.90,999.90,999.90
1939,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1940,-8.33,-4.59,-3.04,4.93,12.87,18.02,21.29,20.30,15.31,8.39,3.65,0.16,-5.53,4.92,19.87,9.12,7.10
1941,-4.30,-5.02,-2.90,9.76,13.69,19.97,22.46,19.29,18.06,11.41,6.20,0.80,-3.05,6.85,20.57,11.89,9.06
1942,-4.28,-6.44,2.26,9.47,14.95,19.55,20.97,20.29,16.63,11.60,4.74,-3.59,-3.31,8.89,20.27,10.99,9.21
1943,-5.49,-3.06,-0.29,3.29,12.49,20.57,22.13,20.54,16.16,9.25,3.17,-2.89,-4.05,5.16,21.08,9.53,7.93
1944,-1.04,-3.76,-0.69,5.12,17.50,19.59,22.55,22.61,17.52,10.34,5.67,-3.56,-2.56,7.31,21.58,11.18,9.38
1945,-8.67,-3.02,6.96,9.95,10.50,17.87,21.34,21.40,17.98,9.99,5.14,-4.65,-5.08,9.14,20.20,11.04,8.82
1946,-2.63,-3.99,6.91,7.01,12.90,17.91,21.92,18.93,18.08,13.78,6.90,-0.21,-3.76,8.94,19.59,12.92,9.42
1947,-1.19,-5.71,-1.15,6.38,11.68,18.87,20.44,24.11,17.85,15.56,3.41,-1.99,-2.37,5.64,21.14,12.27,9.17
1948,-7.37,-3.66,1.60,9.31,11.89,18.49,22.35,21.33,18.35,9.83,8.47,0.28,-4.34,7.60,20.72,12.22,9.05
1949,-0.34,-0.09,0.99,7.56,14.33,22.40,23.57,22.09,14.98,14.04,3.41,0.78,-0.05,7.63,22.69,10.81,10.27
1950,1.43,-3.93,-2.01,4.47,14.08,18.39,20.60,20.38,16.01,12.66,3.93,-2.66,-0.57,5.51,19.79,10.87,8.90
1951,-1.89,-2.49,1.87,7.27,14.12,19.10,21.34,20.31,16.31,12.58,1.34,-0.73,-2.35,7.75,20.25,10.08,8.93
1952,-1.90,-1.54,0.88,9.03,12.21,19.67,23.54,21.22,17.35,8.12,6.12,0.75,-1.39,7.37,21.48,10.53,9.50
1953,-0.33,-0.72,2.58,6.68,13.57,19.77,22.06,21.39,17.24,12.44,6.65,1.44,-0.10,7.61,21.07,12.11,10.17
1954,-4.72,0.60,0.50,8.56,12.51,20.13,20.93,19.42,16.82,12.19,5.40,-1.81,-0.89,7.19,20.16,11.47,9.48
1955,-3.98,-2.27,1.03,10.60,15.23,19.38,24.49,23.24,16.71,12.27,3.74,-3.79,-2.69,8.95,22.37,10.91,9.89
1956,-4.09,-2.06,-0.78,6.15,11.71,19.10,20.53,20.54,14.99,12.95,5.55,1.24,-3.31,5.69,20.06,11.16,8.40
1957,-6.33,-0.67,2.18,9.34,12.65,20.64,20.99,19.60,16.90,10.05,4.93,1.56,-1.92,8.06,20.41,10.63,9.29
1958,-3.81,-6.44,1.41,8.99,12.21,16.64,21.81,20.46,16.72,11.23,5.46,-5.43,-2.90,7.54,19.64,11.14,8.85
1959,-5.41,-4.32,-0.58,7.77,15.65,19.34,22.66,23.77,19.35,11.44,3.68,0.18,-5.05,7.61,21.92,11.49,8.99
1960,-3.08,-2.64,-4.37,9.10,14.49,18.76,20.61,999.90,999.90,999.90,999.90,999.90,-1.85,6.41,19.86,999.90,8.84
1961,-7.23,-2.77,1.49,4.61,12.00,17.73,21.26,21.15,20.59,12.75,5.15,-0.98,-4.07,6.03,20.05,12.83,8.71
1962,-4.97,-5.67,0.53,7.44,16.32,18.57,20.40,20.32,15.02,11.12,3.11,-3.58,-3.87,8.10,19.76,9.75,8.43
1963,-7.00,-7.05,2.15,7.05,11.84,19.58,21.49,18.21,14.20,14.23,6.73,-4.51,-5.88,7.01,19.76,11.72,8.15
1964,-1.23,-4.48,1.37,8.56,15.39,18.99,23.09,18.56,16.30,9.18,5.89,-1.14,-3.41,8.44,20.21,10.46,8.93
1965,-4.40,-3.19,-0.89,5.39,15.61,18.18,20.00,20.17,17.75,9.05,4.70,1.51,-2.91,6.70,19.45,10.50,8.44
1966,-6.16,-3.67,1.76,6.51,11.46,19.89,22.17,20.54,15.10,9.60,5.51,-1.68,-2.77,6.58,20.87,10.07,8.69
1967,-0.97,-6.11,-0.33,8.08,10.27,22.73,22.02,20.31,16.19,11.32,2.66,0.82,-2.92,6.01,21.69,10.06,8.71
1968,-6.51,-6.06,2.28,9.79,12.13,18.45,22.04,21.01,19.17,12.16,5.04,-2.68,-3.92,8.07,20.50,12.12,9.19
1969,-3.64,-3.85,-0.36,8.43,12.65,18.20,21.62,21.97,17.00,10.79,4.20,-3.80,-3.39,6.91,20.60,10.66,8.69
1970,-7.76,-3.80,-0.86,8.52,14.29,19.12,21.86,21.42,18.01,12.73,5.59,-2.37,-5.12,7.32,20.80,12.11,8.78
1971,-5.97,-2.58,-1.01,5.64,12.74,19.99,20.63,20.10,18.80,15.06,4.16,1.04,-3.64,5.79,20.24,12.67,8.77
1972,-3.41,-5.32,-0.81,5.30,15.30,17.24,21.90,20.05,17.34,8.12,2.46,-0.47,-2.56,6.60,19.73,9.31,8.27
1973,-2.26,-4.86,5.95,8.47,12.69,20.28,22.56,22.30,16.69,12.60,5.10,-1.44,-2.53,9.04,21.71,11.46,9.92
1974,-2.52,-5.16,0.73,8.10,11.96,18.85,21.28,21.26,15.51,9.74,4.77,0.05,-3.04,6.93,20.46,10.01,8.59
1975,-0.88,-1.42,-0.45,4.29,16.89,20.18,22.60,21.17,14.79,11.88,8.47,-1.90,-0.75,6.91,21.32,11.71,9.80
1976,-6.64,0.10,3.11,8.27,12.10,20.40,20.10,19.91,15.81,8.13,1.37,-5.39,-2.81,7.83,20.14,8.44,8.40
1977,-9.90,-3.89,4.54,8.51,15.89,18.20,22.41,20.23,17.18,9.95,6.45,-2.11,-6.39,9.65,20.28,11.19,8.68
1978,-6.25,-8.98,-1.90,6.00,14.31,18.59,21.51,21.44,16.18,9.92,4.81,-0.71,-5.78,6.14,20.51,10.30,7.79
1979,-6.20,-9.35,3.63,7.02,14.00,19.37,22.01,19.90,16.80,10.57,6.58,0.92,-5.42,8.22,20.43,11.32,8.63
